topic_number,topic_name,number_of_content_items
-1,Outliers,239
0,Employment Rights and Reforms,213
1,Minimum Wage Enforcement and Compliance,184
2,Young People Skills Development,139
3,Shared Parental Leave Reform,66
4,CAC Outcomes and Decisions,37
5,Union Modernisation Fund Projects,25
6,Employment Agency Standards Inspectorate,25
7,Zero Hours Contract Reforms,24
8,Union Complaint and Ballot Procedures,17
9,Acas Council Leadership and Appointments,15
10,RDA Asset Transfer and Development,14
