topic_number,topic_name,number_of_content_items
-1,Outliers,239
0,Youth Employment Training,88
1,Shared Parental Leave,66
2,Employment Rights Reform,40
3,Labour Market Projections,40
4,CAC Outcomes,37
5,Employment Law Reform,33
6,Minimum Wage Increase,29
7,Labour Market Enforcement,28
8,Minimum Wage Increase,27
9,Trade Union Regulation,26
10,Union Modernisation Projects,25
11,Minimum Wage Enforcement,25
12,Employment Agency Standards,25
13,National Minimum Wage,24
14,Employment Tribunal Reforms,21
15,Minimum Wage Increase,21
16,Agency Workers Regulations,20
17,Employee Ownership Consultation,19
18,Employee Rights Complaints,17
19,Wage Commission Remit,17
20,Acas Council Appointments,15
21,Minimum Wage Enforcement,15
22,RDA Asset Transfer,14
23,Minimum Wage Research,14
24,Trade Union Statistics,13
25,Minimum Service Levels,13
26,Zero Hours Contracts,13
27,Minimum Wage Reports,12
28,Flexible Working Rights,11
29,UK Labour Statistics,11
