topic_number,topic_name,number_of_content_items
-1,Outliers,239
0,Employment Rights and Reforms,213
1,Minimum Wage Enforcement and Increases,184
2,Youth Employment and Skills Training,139
3,Shared Parental Leave Regulations,66
4,CAC Outcomes and Decisions,37
5,Union Modernisation Fund Projects,25
6,Employment Agency Standards Reports,25
7,Flexible Working and Rights,24
8,Employee Complaints and Recognition Process,17
9,Acas Council Appointments and Reappointments,15
10,RDA Asset Transfer to HCA,14
