topic_number,topic_name,number_of_content_items
-1,Outlier,239
0,Youth employment initiatives,88
1,Shared Parental Leave,66
2,Employment Rights Reforms,40
3,Labour market projections,40
4,CAC Union Outcomes,37
5,Employment Law Reform,33
6,National Living Wage,29
7,Labour Market Enforcement,28
8,National Minimum Wage Increase,27
9,Trade Union Regulations,26
10,Union Modernisation Projects,25
11,Minimum Wage Violations,25
12,Employment Agency Standards,25
13,National Minimum Wage,24
14,Employment Tribunal Reforms,21
15,National Living Wage,21
16,Agency Workers Regulations,20
17,Employee Ownership Initiatives,19
18,Union recognition complaints,17
19,National Wage Recommendations,17
20,Acas Council appointments,15
21,Minimum Wage Enforcement,15
22,Transfer of RDA Assets,14
23,Minimum Wage Research,14
24,Trade Union Membership Statistics,13
25,Minimum Service Levels,13
26,Zero Hours Contracts,13
27,National Minimum Wage,12
28,Flexible Working Rights,11
29,UK Labour Market Statistics,11
