topic_number,topic_name,number_of_content_items
-1,Outliers,239
0,Minimum Wage Compliance,184
1,Employment Rights Reform,147
2,Youth Skills Development,88
3,Shared Parental Leave,66
4,Labour Market Projections,40
5,CAC Outcomes,37
6,Union Modernisation Projects,25
7,Employment Agency Standards,25
8,Employment Tribunal Reform,21
9,Employee Ownership Policy,19
10,Union Recognition Procedures,17
11,Acas Council Appointments,15
12,RDA Asset Transfer,14
13,Minimum Service Levels,13
14,Trade Union Statistics,13
15,Zero Hours Contracts,13
16,Flexible Working Rights,11
17,UK Labour Statistics,11
